Alpha  Beta  Evaporation  MaxDeviation  MedianDeviation  AvgDeviation
0.10  0.10  0.10  122.90  61.80  57.44
0.10  0.10  0.30  117.10  52.70  56.71
0.10  0.10  0.50  111.90  64.40  60.29
0.10  0.10  0.70  109.30  52.50  55.05
0.10  0.10  0.90  107.60  59.30  57.23
0.10  0.30  0.10  101.80  45.00  43.01
0.10  0.30  0.30  78.30  45.00  44.33
0.10  0.30  0.50  105.80  44.00  45.40
0.10  0.30  0.70  91.40  45.00  43.64
0.10  0.30  0.90  81.00  39.50  40.98
0.10  0.50  0.10  89.10  36.00  34.93
0.10  0.50  0.30  83.40  33.40  32.82
0.10  0.50  0.50  75.10  36.20  36.10
0.10  0.50  0.70  64.40  32.50  27.95
0.10  0.50  0.90  69.00  38.30  31.52
0.10  0.70  0.10  64.00  34.20  30.76
0.10  0.70  0.30  59.60  20.40  22.38
0.10  0.70  0.50  59.50  25.00  24.81
0.10  0.70  0.70  66.70  22.50  24.45
0.10  0.70  0.90  70.30  28.20  27.02
0.10  0.90  0.10  44.50  22.90  20.06
0.10  0.90  0.30  36.50  9.40  14.22
0.10  0.90  0.50  47.40  11.90  18.08
0.10  0.90  0.70  51.60  18.00  16.65
0.10  0.90  0.90  52.70  13.50  17.08
0.30  0.10  0.10  102.80  39.00  43.66
0.30  0.10  0.30  101.60  49.00  46.35
0.30  0.10  0.50  79.10  44.40  41.23
0.30  0.10  0.70  101.90  47.00  46.48
0.30  0.10  0.90  76.20  36.50  38.60
0.30  0.30  0.10  71.90  38.20  34.20
0.30  0.30  0.30  78.80  30.00  30.72
0.30  0.30  0.50  81.60  30.70  32.36
0.30  0.30  0.70  93.00  31.00  32.67
0.30  0.30  0.90  67.80  21.40  25.61
0.30  0.50  0.10  60.20  30.00  24.82
0.30  0.50  0.30  74.00  25.00  23.75
0.30  0.50  0.50  65.30  28.30  25.77
0.30  0.50  0.70  58.60  25.00  22.33
0.30  0.50  0.90  44.60  18.40  17.93
0.30  0.70  0.10  45.00  18.50  17.54
0.30  0.70  0.30  41.50  18.40  16.34
0.30  0.70  0.50  43.30  19.00  14.76
0.30  0.70  0.70  37.50  19.50  15.55
0.30  0.70  0.90  32.30  8.90  12.44
0.30  0.90  0.10  39.50  9.50  11.77
0.30  0.90  0.30  25.70  11.40  10.42
0.30  0.90  0.50  29.30  8.80  9.66
0.30  0.90  0.70  28.00  11.00  10.01
0.30  0.90  0.90  32.00  8.90  9.25
0.50  0.10  0.10  96.30  28.30  33.70
0.50  0.10  0.30  89.00  32.00  34.05
0.50  0.10  0.50  76.20  34.00  29.41
0.50  0.10  0.70  76.10  32.60  27.37
0.50  0.10  0.90  61.30  25.00  24.47
0.50  0.30  0.10  50.80  18.00  18.36
0.50  0.30  0.30  43.30  20.50  18.69
0.50  0.30  0.50  47.10  18.40  17.90
