Alpha  Beta  Evaporation  MaxDeviation  MedianDeviation  AvgDeviation
0.10  0.10  0.10  144.30  64.00  67.36
0.10  0.10  0.30  128.20  67.70  69.42
0.10  0.10  0.50  123.40  70.30  73.34
0.10  0.10  0.70  124.80  63.90  67.85
0.10  0.10  0.90  104.80  58.50  59.31
0.10  0.30  0.10  99.30  51.50  46.16
0.10  0.30  0.30  100.70  44.40  45.60
0.10  0.30  0.50  94.20  41.50  47.33
0.10  0.30  0.70  98.00  46.60  48.43
0.10  0.30  0.90  94.40  41.20  42.20
0.10  0.50  0.10  77.00  33.10  33.05
0.10  0.50  0.30  86.10  43.50  34.96
0.10  0.50  0.50  69.10  33.00  32.91
0.10  0.50  0.70  82.20  34.20  32.88
0.10  0.50  0.90  74.60  24.00  27.92
0.10  0.70  0.10  55.20  26.90  23.48
0.10  0.70  0.30  60.70  20.40  20.97
0.10  0.70  0.50  53.20  22.00  20.66
0.10  0.70  0.70  48.00  29.90  22.32
0.10  0.70  0.90  55.80  13.90  16.61
0.10  0.90  0.10  47.10  11.10  14.52
0.10  0.90  0.30  52.00  19.50  17.06
0.10  0.90  0.50  44.90  19.00  15.75
0.10  0.90  0.70  38.20  17.40  14.82
0.10  0.90  0.90  30.00  14.00  11.96
0.30  0.10  0.10  112.10  63.40  59.92
0.30  0.10  0.30  100.30  46.00  49.57
0.30  0.10  0.50  99.70  52.50  52.18
0.30  0.10  0.70  98.60  50.80  49.25
0.30  0.10  0.90  97.90  50.50  50.77
0.30  0.30  0.10  81.30  30.70  30.45
0.30  0.30  0.30  85.00  28.00  28.37
0.30  0.30  0.50  70.10  30.10  31.74
0.30  0.30  0.70  72.10  37.50  32.22
0.30  0.30  0.90  68.50  30.40  32.17
0.30  0.50  0.10  49.30  19.60  20.15
0.30  0.50  0.30  50.60  25.50  22.34
0.30  0.50  0.50  56.30  28.40  23.09
0.30  0.50  0.70  42.10  17.50  17.40
0.30  0.50  0.90  56.90  19.50  19.34
0.30  0.70  0.10  39.70  12.50  14.25
0.30  0.70  0.30  52.50  20.50  15.19
0.30  0.70  0.50  44.90  11.90  12.99
0.30  0.70  0.70  32.50  8.00  10.43
0.30  0.70  0.90  28.20  8.50  8.56
0.30  0.90  0.10  25.70  7.00  8.34
0.30  0.90  0.30  19.00  7.00  7.27
0.30  0.90  0.50  21.00  9.20  8.35
0.30  0.90  0.70  25.50  6.50  7.75
0.30  0.90  0.90  19.50  5.40  5.93
0.50  0.10  0.10  90.10  44.20  41.93
0.50  0.10  0.30  94.10  40.50  38.84
0.50  0.10  0.50  93.30  44.10  40.04
0.50  0.10  0.70  82.70  40.00  34.23
0.50  0.10  0.90  79.90  22.90  29.58
0.50  0.30  0.10  57.10  28.90  25.31
0.50  0.30  0.30  52.30  26.30  23.63
0.50  0.30  0.50  45.10  11.00  14.00
0.50  0.30  0.70  56.60  20.80  20.32
0.50  0.30  0.90  43.00  19.80  17.53
0.50  0.50  0.10  39.50  13.10  12.64
0.50  0.50  0.30  35.00  8.50  9.96
0.50  0.50  0.50  24.40  8.90  8.65
0.50  0.50  0.70  39.00  11.10  10.75
0.50  0.50  0.90  17.90  7.00  6.99
0.50  0.70  0.10  20.80  7.00  7.81
0.50  0.70  0.30  20.80  7.00  7.19
0.50  0.70  0.50  23.10  6.50  5.65
0.50  0.70  0.70  13.60  4.00  4.13
0.50  0.70  0.90  11.10  2.50  3.48
0.50  0.90  0.10  11.90  2.50  3.62
0.50  0.90  0.30  13.00  4.00  4.31
0.50  0.90  0.50  11.80  2.50  3.24
0.50  0.90  0.70  8.00  0.00  2.06
0.50  0.90  0.90  14.00  2.50  2.58
0.70  0.10  0.10  57.00  23.50  21.51
0.70  0.10  0.30  59.50  23.20  21.54
0.70  0.10  0.50  63.80  17.80  18.87
0.70  0.10  0.70  48.60  18.00  16.53
0.70  0.10  0.90  34.40  16.50  13.12
0.70  0.30  0.10  43.60  9.20  10.47
0.70  0.30  0.30  43.40  8.00  10.39
0.70  0.30  0.50  29.70  8.80  9.14
0.70  0.30  0.70  28.00  7.80  7.97
0.70  0.30  0.90  25.50  6.50  6.87
0.70  0.50  0.10  19.00  7.00  6.20
0.70  0.50  0.30  20.10  4.00  4.79
0.70  0.50  0.50  17.90  5.70  4.81
0.70  0.50  0.70  13.50  1.50  3.32
0.70  0.50  0.90  8.50  2.50  2.55
0.70  0.70  0.10  8.50  3.30  2.99
0.70  0.70  0.30  8.50  2.50  3.16
0.70  0.70  0.50  10.70  0.00  2.38
0.70  0.70  0.70  7.00  0.00  1.85
0.70  0.70  0.90  7.00  2.50  2.22
0.70  0.90  0.10  8.00  0.00  1.65
0.70  0.90  0.30  8.50  0.00  1.85
0.70  0.90  0.50  7.00  0.00  1.83
0.70  0.90  0.70  7.00  0.00  1.91
0.70  0.90  0.90  7.00  0.00  1.68
0.90  0.10  0.10  36.50  9.40  11.45
0.90  0.10  0.30  24.40  5.70  6.95
0.90  0.10  0.50  38.00  7.00  9.10
0.90  0.10  0.70  23.90  5.70  6.98
0.90  0.10  0.90  24.20  4.50  5.74
0.90  0.30  0.10  11.40  2.50  3.42
0.90  0.30  0.30  11.10  1.50  2.70
0.90  0.30  0.50  16.80  2.50  3.23
0.90  0.30  0.70  8.90  2.50  3.14
0.90  0.30  0.90  12.90  2.50  3.38
0.90  0.50  0.10  7.00  0.00  1.86
0.90  0.50  0.30  7.00  0.00  1.65
0.90  0.50  0.50  7.00  0.00  1.60
0.90  0.50  0.70  7.00  0.00  1.73
0.90  0.50  0.90  8.90  0.00  2.67
0.90  0.70  0.10  7.00  0.00  2.05
0.90  0.70  0.30  7.00  0.00  1.80
0.90  0.70  0.50  7.00  0.00  1.39
0.90  0.70  0.70  7.00  0.00  1.48
0.90  0.70  0.90  8.90  0.00  1.87
0.90  0.90  0.10  5.70  0.00  1.24
0.90  0.90  0.30  7.00  0.00  1.72
0.90  0.90  0.50  8.50  2.50  2.22
0.90  0.90  0.70  7.00  2.50  2.11
0.90  0.90  0.90  7.00  2.50  2.86

Best results
min MaxDeviation: 0.90  0.90  0.10  5.70  0.00  1.24

min MedianDeviation: 0.50  0.90  0.70  5.00  0.00  1.06

min AvgDeviation: 0.90  0.90  0.10  5.70  0.00  1.24


Runs Count: 10  Graphs Count: 3
