id,title,release_date,label,genre
8a789978-490b-4f90-829a-1776b75d163a,Do collection formerly,2006-02-11,Club,World
14af0921-a352-498a-b657-2a7b5397915b,So accordingly knowledge,2019-07-31,From,Dubstep
08d7c376-7ac3-4a2b-9a44-7b3601a931ed,Sleepily vehicle now,2023-11-15,Earlier,Country
a8f13880-7b10-4963-ba7c-ba3ea045e02e,Fire divorce that,1972-07-17,Fortnightly,Techno
faa44ff1-829c-45af-aa4c-d4bb15727846,Strange what normally,1963-01-09,Being,Progressive
0fc1265a-9ea7-45b6-ad6c-f085d58ff8d8,Poorly generally body,2002-04-27,Train,Techno
63b61d27-3b70-4bd7-a4ab-47febb7b9256,Wealth on usually,2024-03-24,Road,Chamber
82ff4c7f-e912-47d3-8a12-774f93776f44,Our well pack,2019-01-25,That,Traditional
80f96bba-58a5-41ee-a17b-c6993ff4bee3,None your to,1928-08-09,Seldom,Techno
fbd80612-f6d0-46e2-929e-e61cbad006dd,Where me chair,2024-02-15,Oil,Metal
1ce7d6db-1c97-41de-808d-735192b96a16,Phew off on,2002-05-27,Eek,Metal
ed529077-81d5-43ba-a219-3eb1d9d15df2,Himself it several,2023-03-29,How,Chamber
848ed9bf-d449-43ab-9633-1069a2657e13,Today far to,2007-10-24,From,Progressive
d591797d-443a-4f90-92b7-6eb1adf507ec,But why quarterly,2019-07-03,How,Traditional
e90d6276-5725-4a9b-940d-3ef963bcf4e7,Out preen help,1978-01-21,Those,Progressive
181333c5-8ce4-4507-98bd-d478fd70a23e,Whoever leap moreover,2015-07-07,Therefore,Country
a81d0671-abf2-4cd5-bced-204cc30f2b74,That climb then,1948-03-29,Play,Progressive
c3605fdd-fc2d-4ba4-9837-29eff7260037,Afterwards team half,2015-04-09,Daily,World
57d0f109-7139-4a9b-865c-bda6f6ba821b,Change hourly fortnightly,2016-05-07,For,Soul
6431bc69-62f3-4865-94e9-0502090b40d9,Because galaxy yearly,1972-10-31,Uzbek,World
5d876a7d-3e6d-4d39-b154-0903a133c053,Then many her,1984-01-31,At,Progressive
29f60cd9-6484-4a88-a1b5-aeb264c4a3a8,Nobody confusion but,1995-03-15,However,Chamber
03d482c9-708a-4bc9-aa17-8985b5041298,Archipelago e.g. an,2007-05-03,Both,Crossover
24d75fbe-1675-4a96-ae78-16f57a98cd4f,These covey gang,2008-10-16,Bravo,Pop
