id,name,genre,country,debut_year
6c5a20dd-5168-40c9-92a5-2d62874a07ee,Gain many anyway to,World,Belgium,1955
67b2ff8a-0b34-4bc0-95ff-13077120f890,Group out,Dubstep,Austria,1987
bf0ffb32-463e-4d99-8518-b62108866607,Anyone whichever each line,Country,Argentina,2021
585d4321-dc82-4dc8-8474-d1d94e9b0f90,To far twist,Techno,Poland,1921
fd897e2b-b0ca-476d-8f62-27e4228a4d1e,Run string yesterday,Progressive,Colombia,1937
e8a951fe-8a17-474f-b652-6916172806f0,Part your is,Folk,Germany,1921
0cf4cd94-b23e-4873-bcd0-61e7fe6f4b74,To,Chamber,Norway,2017
8c84d187-d134-45fe-a2e9-5e7941443b05,Where finally murder my,Techno,Ireland,1954
61669db1-a9df-4b06-8cf1-e83f7d66a747,Been,Traditional,Malaysia,1930
f3041aa8-657c-4622-9577-09f88fd4475e,As ball herself hundred,R&B,Serbia,1927
4ff07f8c-27b3-4b3b-8574-b6b9ee2724a1,Whoa oil as do,Crossover,Croatia,1993
24da9dc6-a89c-4077-8924-6ed0a4886249,Least what pad move,Progressive,France,1942
40a7ac7d-a949-4273-880d-72fbc3afe78b,Throughout music constantly day,Metal,Croatia,1976
d98648f5-0a74-4801-b9fd-5df566f7b08a,Someone,Country,Japan,2014
97a9d235-848f-4d69-a988-3ad7993c839d,Potato myself,Soul,Slovakia,2009
2e4bd348-cfe7-4a28-9c4f-177ceae3ff2a,Rarely example,Chamber,Slovakia,1935
0e47066e-86d7-4173-a4ea-dda17881d58b,Down nightly why previously,Pop,Austria,1996
d6f3c7fa-2ddf-4ebf-a9d7-e258a107061e,Weekly tribe down ourselves,Alternative Hip-hop,United Arab Emirates,2004
14573728-18ac-4f55-812e-12906795e3b0,Then deeply lonely pain,Hard Rock,Sweden,1957
d3ce4f4d-d9c9-472c-b1c3-058c7b801ba3,Them me which seldom,Ska,Netherlands,1988
c6b2e214-8272-451e-a7db-cd4ec6f7218b,We last,Reggae,Australia,1999
bc2631c4-5a70-44a3-89e8-b3e42d830b01,Due its Burmese,Psychedelic Rock,France,1979
33c8e56c-b919-486d-baf5-2ef82c2d5db0,Woman,Folk,Italy,2006
41fac3b3-839e-483a-b087-2fe9db7580de,Nobody indeed scold,Techno,India,2018
fdaf6722-ee79-48c5-a1c3-2b4bc1faa04b,Me wildly theirs,Celtic,Czech Republic,1984
808229d6-d1e2-4805-8a89-3dd21b72006d,Throughout,Gothic,Greece,2002
5155ce8c-b155-41ad-b4d4-f108eedb9728,Other,Country,Ireland,2001
9fcf558f-1848-44f8-94fe-504872920162,Oxygen look,Traditional,Norway,1980
322c75a5-6943-4b5d-ae23-d062537afc0f,Pounce someone,Techno,United Kingdom,1970
e252fded-fefb-46e4-b89b-82f15de37e5a,Yay much few,Traditional,South Korea,1966
4b9e01b9-572c-4134-b82b-4acd2e512aff,That there pack,Disco,Mexico,1974
269118d4-ac9a-4e39-a480-28b22f61d1e4,Secondly whom,Country,United Kingdom,1998
8df5caa7-ff6d-4a2d-9ee5-7ed8ac3029db,Bathe,Punk,Portugal,1922
42278103-2713-457d-91a0-332e02f50702,Your towards,Metal,Mexico,2023
f3f48f64-1aaf-4ff5-91f5-36ff3f24493a,Camp nightly been sharply,Crossover,Czech Republic,1978
62821be3-42d6-48c0-993d-83f3f64de951,You cloud fact little,Pop,Serbia,1972
598cca73-7543-4f09-a7c9-a965377d92b7,Nightly,Chamber,Thailand,1979
88d85ab5-54f3-4018-87fe-fd921ca1ccc0,No it his this,Reggae,Norway,1952
0ae436fb-e780-44c7-8aff-16a79fbf369b,Other whose,Pop,Vietnam,2021
ca73ca68-9a99-401a-a2c5-39e9de65c9f0,Its not which,Rock,Brazil,1922
62f6b6e1-5e81-40e1-94eb-f5df6e18b25e,Lastly down who how,Celtic,Switzerland,1926
41b73aec-0538-441c-9413-a4b9d403d901,Calm,Dance,Portugal,1921
974672ae-28f2-4a05-b6dd-fcb54d079204,Safety fly whose,Trance,Norway,2019
5feb7789-68bc-49ee-8b91-1b3978700e4c,Words instance cut a,Indie,Ukraine,2016
b80aaece-d158-41f1-8be8-47545c063a55,Whoever spit above,Progressive,Russia,1999
872ab6cf-1f31-4fd0-b6b7-709060a4c1a4,Creepy,New Age,India,1984
578aecdd-a207-47c8-b9aa-049f594b4c26,Something,Crossover,United Arab Emirates,1982
809a1e04-4924-4662-bbb5-505e8830dc5f,Below can,Funk,Ukraine,2018
31fd1eb6-49dc-4f0a-b95d-8d520dfb20f7,Lately,Trance,Ukraine,1950
89fd0b71-05a6-4558-965a-a667cf00042c,In beneath who fortnightly,Trance,New Zealand,1940
214c25cd-63f4-4516-9ed4-7f14c38e6c52,Indoors daily,Rock,Norway,1946
463335d8-33d1-4a74-af42-23f5326e44bc,Through out moreover,Metal,South Africa,1967
ef8f2b1f-d586-490d-b791-5cd80c042d20,Hers,Indie,Mexico,1952
d6c91b2b-7911-4634-bb48-ac0fd529e1c3,Their mine entirely this,Rap,Netherlands,2012
41292ef4-55dd-47c5-8af3-608434d1ea4a,Besides,Classical,Netherlands,2023
ca74099b-4861-4625-b376-a659537cd2d7,Out none,Musical Theatre,Brazil,2020
8d026839-5733-4f6d-b295-58c51e489db5,Being on,Classical,Germany,1925
3f88b862-56d9-4ca5-939b-a8c8d6a7acf2,His does,Chamber,Australia,1922
